==============================================================
  NetSupport RAT Infrastructure Hunter — 2026-05-15
==============================================================

📊 GESAMT AKTIVE HOSTS: 1039

🔴 NEU HEUTE (7)
   45.90.46.207       AS57271    BitWeb LLC                   (seit 2026-05-08)
   185.206.214.2      AS204601   Celeritas International LLC  (seit 2026-03-10)
   85.209.90.23       AS204601   Celeritas International LLC  (seit 2026-03-10)
   185.241.55.96      AS204601   Celeritas International LLC  (seit 2026-03-10)
   85.209.88.25       AS204601   Celeritas International LLC  (seit 2026-03-10)
   77.83.172.45       AS204601   Celeritas International LLC  (seit 2026-03-10)
   45.132.106.49      AS204601   Celeritas International LLC  (seit 2026-03-10)
   77.220.214.214     AS204601   Celeritas International LLC  (seit 2026-03-10)
   45.132.106.184     AS204601   Celeritas International LLC  (seit 2026-03-10)
   92.119.112.20      AS204601   Celeritas International LLC  (seit 2026-03-10)
   185.206.212.227    AS204601   Celeritas International LLC  (seit 2026-03-10)
   85.209.88.34       AS204601   Celeritas International LLC  (seit 2026-03-10)
   45.66.8.69         AS204601   Celeritas International LLC  (seit 2026-03-10)
   185.206.214.190    AS204601   Celeritas International LLC  (seit 2026-03-10)
   185.154.15.49      AS204601   Celeritas International LLC  (seit 2026-03-10)
   185.244.216.151    AS204601   Celeritas International LLC  (seit 2026-03-10)
   176.57.70.80       AS204601   Celeritas International LLC  (seit 2026-03-10)
   185.231.70.182     AS204601   Celeritas International LLC  (seit 2026-03-12)
   185.154.13.207     AS204601   Celeritas International LLC  (seit 2026-03-12)
   185.209.23.131     AS204601   Celeritas International LLC  (seit 2026-03-13)
   185.154.15.183     AS204601   Celeritas International LLC  (seit 2026-03-14)
   212.86.109.118     AS204601   Celeritas International LLC  (seit 2026-03-14)
   185.203.242.80     AS204601   Celeritas International LLC  (seit 2026-03-14)
   212.86.102.74      AS204601   Celeritas International LLC  (seit 2026-03-17)
   176.57.70.50       AS204601   Celeritas International LLC  (seit 2026-03-17)
   185.154.14.225     AS204601   Celeritas International LLC  (seit 2026-03-17)
   185.231.70.178     AS204601   Celeritas International LLC  (seit 2026-03-17)
   185.51.247.227     AS204601   Celeritas International LLC  (seit 2026-03-18)
   212.86.102.43      AS204601   Celeritas International LLC  (seit 2026-03-20)
   185.154.15.172     AS204601   Celeritas International LLC  (seit 2026-03-20)
   185.213.211.44     AS204601   Celeritas International LLC  (seit 2026-03-20)
   45.88.77.45        AS204601   Celeritas International LLC  (seit 2026-03-24)
   212.8.244.137      AS204601   Celeritas International LLC  (seit 2026-03-24)
   77.83.173.108      AS204601   Celeritas International LLC  (seit 2026-04-01)
   185.250.205.181    AS204601   Celeritas International LLC  (seit 2026-04-01)
   185.213.211.31     AS204601   Celeritas International LLC  (seit 2026-04-02)
   45.88.79.17        AS204601   Celeritas International LLC  (seit 2026-04-02)
   185.241.52.72      AS204601   Celeritas International LLC  (seit 2026-04-04)
   185.51.247.240     AS204601   Celeritas International LLC  (seit 2026-04-05)
   212.86.109.119     AS204601   Celeritas International LLC  (seit 2026-04-05)
