==============================================================
  NetSupport RAT Infrastructure Hunter — 2026-03-20
==============================================================

📊 GESAMT AKTIVE HOSTS: 1975

🔴 NEU HEUTE (155)
     89.23.107.198      AS215540   GLOBAL CONNECTIVITY SOLUTIONS LLP NL  SSL:DESKTOP-TCRDU4C
     185.39.207.153     AS215540   GLOBAL CONNECTIVITY SOLUTIONS LLP GR  SSL:WIN-J9D866ESIJ2
     185.39.207.194     AS215540   GLOBAL CONNECTIVITY SOLUTIONS LLP GR  SSL:WIN-J9D866ESIJ2
     5.34.182.84        AS15626    GREEN FLOID LLC              UA  SSL:WIN-J9D866ESIJ2
     91.196.32.122      AS207957   Germany, Frankfurt           DE  SSL:WIN-J9D866ESIJ2
     91.196.34.141      AS207957   Germany, Frankfurt           DE  SSL:WIN-J9D866ESIJ2
     45.129.99.235      AS201094   GmhostGrupp OU               UA  SSL:WIN-J9D866ESIJ2
     45.129.97.215      AS201094   GmhostGrupp OU               UA  SSL:WIN-J9D866ESIJ2
     185.234.114.177    AS211971   Goodhost.KZ                  KZ  SSL:WIN-J9D866ESIJ2
     185.234.114.84     AS211971   Goodhost.KZ                  KZ  SSL:WIN-J9D866ESIJ2
     195.123.240.171    AS204957   Green Floid LLC              US  SSL:WIN-J9D866ESIJ2
     195.123.224.152    AS59729    Green Floid LLC              BG  SSL:WIN-J9D866ESIJ2
     195.123.225.31     AS59729    Green Floid LLC              BG  SSL:WIN-J9D866ESIJ2
     185.125.50.2       AS215730   H2.NEXUS Frankfurt Network   DE  SSL:WIN-J9D866ESIJ2
     85.192.48.242      AS215730   H2.NEXUS Helsinki Network    FI  SSL:WIN-J9D866ESIJ2
     5.253.59.40        AS215540   HOST TELECOM LTD             NL  SSL:DESKTOP-2NFCDE2
     95.217.99.22       AS24940    Hetzner Online GmbH          FI  SSL:DESKTOP-2NFCDE2
     5.9.195.172        AS24940    Hetzner Online GmbH          DE  SSL:WIN-J9D866ESIJ2
     188.40.225.8       AS24940    Hetzner Online GmbH          DE  SSL:WIN-J9D866ESIJ2
     103.101.85.54      AS214408   Hosted by Internalhost       NL  SSL:DESKTOP-TCRDU4C
     176.126.164.200    AS59684    Hoster kg, Ltd.              KG  SSL:DESKTOP-TCRDU4C
     81.90.182.134      AS50340    HostiMan.ru Hosting          RU  SSL:WIN-J9D866ESIJ2
     147.45.198.217     AS212701   Hostinux Limited             DE  SSL:DESKTOP-TCRDU4C
     80.66.84.66        AS63023    HyperHosting                 NL  SSL:WIN-J9D866ESIJ2
     185.112.59.25      AS212496   INHOST MCHJ                  LV  SSL:DESKTOP-TCRDU4C
     185.100.159.239    AS212496   INHOST MCHJ                  LV  SSL:WIN-J9D866ESIJ2
     193.23.221.236     AS214417   International Network YC     DE  SSL:DESKTOP-2NFCDE2
     45.12.4.81         AS212872   Internet Hosting LLC         RU  SSL:WIN-J9D866ESIJ2
     45.12.4.40         AS212872   Internet Hosting LLC         RU  SSL:WIN-J9D866ESIJ2
     77.73.129.119      AS201814   KOMBINAT SVYAZI, TOO         PL  SSL:DESKTOP-TCRDU4C
     147.45.216.47      AS213843   Koara International Limited  DE  SSL:DESKTOP-TCRDU4C
     95.85.238.0        AS43708    Mimon fiber optics           CZ  SSL:WIN-J9D866ESIJ2
     185.163.44.99      AS39798    MivoCloud                    MD  SSL:WIN-RL1KM7DPJ0E
     5.253.189.213      AS216475   NKtelecom INC                NL  SSL:DESKTOP-2NFCDE2
     89.105.223.116     AS24875    NovoServe B.V.               NL  SSL:WIN-J9D866ESIJ2
     45.91.203.252      AS204601   ON-LINE DATA LTD.            NL  SSL:WIN-J9D866ESIJ2
     91.228.56.249      AS204601   ON-LINE DATA LTD.            NL  SSL:WIN-J9D866ESIJ2
     80.89.234.112      AS204601   ON-LINE DATA LTD.            NL  SSL:WIN-J9D866ESIJ2
     193.221.200.182    AS197757   ONER INVESTMENTS Ltd         PL  SSL:DESKTOP-2NFCDE2
     85.137.165.173     AS6739     ONO_HFC                      ES  SSL:WIN-J9D866ESIJ2
     87.98.169.144      AS16276    OVH SAS                      FR  SSL:DESKTOP-TCRDU4C
     193.233.112.22     AS215826   Partner Hosting LTD          FI  SSL:DESKTOP-2NFCDE2
     185.107.74.8       AS215826   Partner Hosting LTD          SE  SSL:DESKTOP-2NFCDE2
     185.177.239.100    AS215826   Partner Hosting LTD          SE  SSL:DESKTOP-TCRDU4C
     185.100.157.69     AS215826   Partner Hosting LTD          SE  SSL:DESKTOP-TCRDU4C
